Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(5001-10000).csv,1612105736-4516,https://www.cardekho.com/used-car-details/used-Maruti-Wagon-R-VXI-BS-IV-cars-Noida_32E1C75FF38076810D4E067FF3F6F196.htm,Maruti Wagon R VXI,2.5 Lakh*,New Car (On-Road Price) : Rs.5.26-7.01 Lakh*,2014,Individual,"68,000 kms",First Owner,Petrol,Manual,Mileage20.51 kmpl,Engine998 CC,Max Power67.04 bhp,Seats5
cardekho_extract(5001-10000).csv,1612105560-4438,https://www.cardekho.com/used-car-details/used-Maruti-Swift-2011-2014-VXI-cars-New-Delhi_70FEF86985F0175263D97C3C5119ECDB.htm,Maruti Swift VXI,3.65 Lakh*,New Car (On-Road Price) : Rs.6.04-8.98 Lakh*,2014,Trustmark Dealer,"72,597 kms",First Owner,Petrol,Manual,Mileage18.6 kmpl,Engine1197 CC,Max Power85.8 bhp,Seats5
cardekho_extract(5001-10000).csv,1612106582-4890,https://www.cardekho.com/used-car-details/used-Toyota-Fortuner-4X2-AT-cars-New-Delhi_1AF39015AC688DA8B3533F2867126815.htm,Toyota Fortuner 4X2 AT,14.5 Lakh*,New Car (On-Road Price) : Rs.35.94-37.76 Lakh*,2014,Dealer,"1,27,000 kms",First Owner,Petrol,Automatic,Mileage0.0 kmpl,Engine2694 CC,Max Power163.05 bhp,Seats7
cardekho_extract(5001-10000).csv,1612098650-1375,https://www.cardekho.com/used-car-details/used-Tata-Nano-2009-2011-Cx-cars-Pune_EA0781A25C84E9F4B288F44FE3DE6B59.htm,Tata Nano Cx,"50,000*",null,2010,Dealer,"19,919 kms",First Owner,Petrol,Manual,Mileage26.0 kmpl,Engine624 CC,Max Power35 bhp,Seats4
cardekho_extract(5001-10000).csv,1612101064-2447,https://www.cardekho.com/used-car-details/used-Hyundai-Elantra-2012-2015-SX-cars-Bijapur_17D435008D94A73AB2372E7EDB7BA86F.htm,Hyundai Elantra SX,9 Lakh*,New Car (On-Road Price) : Rs.22.27-24.89 Lakh*,2013,Individual,"50,000 kms",First Owner,Petrol,Manual,Mileage16.3 kmpl,Engine1797 CC,Max Power147.5 bhp,Seats5
cardekho_extract(5001-10000).csv,1612098866-1471,https://www.cardekho.com/used-car-details/used-Maruti-A-Star-Vxi-cars-Mumbai_354504E98BA09A2A7D284F9E2D1B079A.htm,Maruti A Star Vxi,1.3 Lakh*,null,2010,Individual,"90,000 kms",First Owner,Petrol,Manual,Mileage19.0 kmpl,Engine998 CC,Max Power66.1 bhp,Seats5
cardekho_extract(5001-10000).csv,1612097574-897,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-G-(Diesel)-8-Seater-BS-IV-cars-Pune_202BC4DEB6169589D2143E222F8069F8.htm,Toyota Innova 2.5 G (Diesel) 8 Seater,11 Lakh*,null,2014,Dealer,"1,40,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
cardekho_extract(5001-10000).csv,1612104930-4157,https://www.cardekho.com/used-car-details/used-Chevrolet-Beat-2014-2016-Diesel-LT-cars-Panipat_8ED9FD6DBA09A960B9C3B63161959EAB.htm,Chevrolet Beat Diesel LT,2.25 Lakh*,null,2014,Individual,"75,000 kms",First Owner,Diesel,Manual,Mileage25.44 kmpl,Engine936 CC,Max Power56.3 bhp,Seats5
cardekho_extract(5001-10000).csv,1612102677-3165,https://www.cardekho.com/used-car-details/used-Audi-A4-2008-2014-New--2.0-TDI-Multitronic-cars-Bangalore_EB309E295AE5C4BEB513EBAEA41D836F.htm,Audi A4 New  2.0 TDI Multitronic,11.95 Lakh*,null,2012,Individual,"40,000 kms",First Owner,Diesel,Automatic,Mileage15.2 kmpl,Engine1968 CC,Max Power140.8 bhp,Seats5
cardekho_extract(5001-10000).csv,1612101929-2831,https://www.cardekho.com/used-car-details/used-Toyota-Innova-Crysta-2016-2020-2.4-GX-MT-8S-BSIV-cars-Bangalore_491804AC1FA5F655CD2038E1E20D72B1.htm,Toyota Innova Crysta 2016-2020 2.4 GX MT 8S BSIV,16.4 Lakh*,New Car (On-Road Price) : Rs.21.31-31.07 Lakh*,2016,Dealer,"70,000 kms",First Owner,Diesel,Manual,Mileage13.68 kmpl,Engine2393 CC,Max Power147.8 bhp,Seats8
