Source.Name,web-scraper-order,web-scraper-start-url,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,engine,max_power,seats
cardekho_extract(0-2000).csv,1611916400-1036,https://www.cardekho.com/used-car-details/used-Renault-Duster-2015-2016-110PS-Diesel-RxL-Explore-cars-Chandigarh_A21730D8D6CEDD9AF6128ED36727981D.htm,Renault Duster 110PS Diesel RxL Explore,7.5 Lakh*,null,2016,Individual,"50,000 kms",First Owner,Diesel,Manual,Mileage19.64 kmpl,Engine1461 CC,Max Power108.45 bhp,Seats5
cardekho_extract(0-2000).csv,1611914383-156,https://www.cardekho.com/used-car-details/used-Mini-Cooper-Countryman-Cooper-S-cars-New-Delhi_94A7A586A5C260C5009EC74554BDAA4C.htm,Mini Cooper Cooper S,32.5 Lakh*,null,2017,Dealer,"6,000 kms",First Owner,Petrol,Automatic,Mileage14.41 kmpl,Engine1998 CC,Max Power189.08 bhp,Seats5
cardekho_extract(0-2000).csv,1611914854-364,https://www.cardekho.com/used-car-details/used-Maruti-Ciaz-2014-2017-ZDi-Plus-SHVS-cars-Ghaziabad_D9AAD9701A6F45982D1B25631F74E6B8.htm,Maruti Ciaz ZDi Plus SHVS,6.5 Lakh*,null,2016,Dealer,"76,000 kms",First Owner,Diesel,Manual,Mileage28.09 kmpl,Engine1248 CC,Max Power88.5 bhp,Seats5
cardekho_extract(0-2000).csv,1611918107-1790,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-BSIV-cars-Nellore_E96CDBE3AB2B052A1AC4DB0700D4A072.htm,Maruti Swift VDI BSIV,6.27 Lakh*,null,2016,Individual,"20,000 kms",First Owner,Diesel,Manual,Mileage25.2 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
cardekho_extract(0-2000).csv,1611915065-456,https://www.cardekho.com/used-car-details/used-Mercedes-Benz-New-C-Class-C-220-CDI-Avantgarde-cars-New-Delhi_4FB00B93D9F7347F4C6D6E1585C8BC8F.htm,Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25 Lakh*,New Car (On-Road Price) : Rs.51.30-64.08 Lakh*,2014,Dealer,"65,000 kms",First Owner,Diesel,Automatic,Mileage19.27 kmpl,Engine2143 CC,Max Power170 bhp,Seats5
cardekho_extract(0-2000).csv,1611917262-1417,https://www.cardekho.com/used-car-details/used-Maruti-Swift-VDI-cars-Patna_005566680E146EC21E00C6B79BB3912E.htm,Maruti Swift VDI,4.25 Lakh*,null,2014,Dealer,"62,200 kms",First Owner,Diesel,Manual,Mileage28.4 kmpl,Engine1248 CC,Max Power74 bhp,Seats5
cardekho_extract(0-2000).csv,1611914668-282,https://www.cardekho.com/used-car-details/used-Toyota-Innova-2.5-GX-(Diesel)-8-Seater-BS-IV-cars-New-Delhi_6B56CDC956EAE05A61984C280644D3D3.htm,Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05 Lakh*,null,2013,Individual,"1,10,000 kms",First Owner,Diesel,Manual,Mileage12.99 kmpl,Engine2494 CC,Max Power100.6 bhp,Seats8
cardekho_extract(0-2000).csv,1611917405-1480,https://www.cardekho.com/used-car-details/used-Maruti-Baleno-1.2-Zeta-cars-Patna_4A33D86A72A040134216C4AD53849503.htm,Maruti Baleno Zeta 1.2,6 Lakh*,New Car (On-Road Price) : Rs.6.81-10.54 Lakh*,2015,Individual,"20,000 kms",First Owner,Petrol,Manual,Mileage21.4 kmpl,Engine1197 CC,Max Power83.1 bhp,Seats5
cardekho_extract(0-2000).csv,1611918543-1983,https://www.cardekho.com/used-car-details/used-Maruti-Swift-Dzire-2014-2017-VXI-cars-Tirupati_C524E403D4BE92F1C1FECCA958611095.htm,Maruti Swift Dzire VXI,5.75 Lakh*,New Car (On-Road Price) : Rs.6.98-10.40 Lakh*,2016,Individual,"40,000 kms",First Owner,Petrol,Manual,Mileage20.85 kmpl,Engine1197 CC,Max Power83.14 bhp,Seats5
cardekho_extract(0-2000).csv,1611918408-1922,https://www.cardekho.com/used-car-details/used-Fiat-Grande-Punto-2009-2013-1.3-Emotion-Pack-(Diesel)-cars-Machilipatnam_603EFD9848EDF23C2FD983DCA812FDFC.htm,Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6 Lakh*,null,2012,Individual,"97,000 kms",First Owner,Diesel,Manual,Mileage17.8 kmpl,Engine1248 CC,Max Power76 bhp,Seats5
